index,name,category,beach_id,camera_url,reason,playback_observation
10,Hilton Hotel Waikiki (Waikiki),Add verified camera,846ccff8-0e26-41f3-8496-5c5221109c6c,https://www.hilton.com/en/hotels/hnlwahf-hilton-waikiki-beach-resort-and-spa/resort/webcam/,Official Hilton page redirects to current hilton.com City & Beach Webcam; playing view includes Waikiki surf zone and beach. Broad Waikiki Beach mapping supported.,"Chrome EarthCam player displayed LIVE, Pause, Sep3 2026 current morning clock. Two screenshots showed changing wave fronts and a camera pan over Waikiki beach."
11,Sheraton Waikiki (Waikiki),Playback unverified,846ccff8-0e26-41f3-8496-5c5221109c6c,https://marriott.ozolio.com/sheraton-waikiki/,Provider location Waikiki confirmed but player never produced image in two separated Chrome screenshots. Prefer verified Hilton index10 for one-source-per-beach.,Two Chrome screenshots showed black player with loading spinner; no actual playback confirmed.
12,Waikiki Aquarium (Waikiki),Existing camera retained,880748ee-5423-4b2e-a5c3-b2faab5c4a7a,https://www.waikikiaquarium.org/experience/virtual/webcam/,"Official Aquarium URL already assigned to Waikiki (Aquarium), preserve.",Expanded South Shore Surf Cam accordion in Chrome; embedded WIUg8wzhq1g showed panoramic ocean with changing water between screenshots.
13,South Shore Surf Cam,Duplicate or alternate listing,880748ee-5423-4b2e-a5c3-b2faab5c4a7a,https://www.youtube.com/@WaikikiAquariumHonolulu/streams,Same stream WIUg8wzhq1g as official Aquarium camera already on catalog row. Publics exact break field unconfirmed; do not duplicate to Publics.,Official Aquarium accordion visibly loads same YouTube video ID and plays coastal panorama.
14,The Royal Sonesta Resort (Kalapaki Beach),Add verified camera,b2b469ea-3d00-44df-88e8-621934c6926f,https://www.ozolio.com/explore/IDWX000000A6,"Official Sonesta resort page explicitly describes camera view of pool, beach and Kalapaki Bay; browser image matches. Ozolio prose incorrectly says Poipu and must not be reused.","Chrome player showed LIVE/Pause with Kalapaki beach, pool and Nawiliwili headland. Two screenshots showed changing whitewater and palms."
15,Lawai Beach Resort - Live Cam,No matching catalog beach,,https://www.youtube.com/@OurLawaiBeachResort/streams,Lawai Beach and PKs absent from catalog. Official resort describes Lawai Beach; not Poipu Beach Park 2 miles away.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
16,Whalers Cove Resort (PKs),No matching catalog beach,,https://www.whalerscoveresort.com/webcam,Whalers Cove oceanfront at2640 Puuholo Road is not catalog Poipu Beach Park; PKs/Lawai absent.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
17,Brenneckes.com (Brenneckes),Add verified camera,231d8635-6ae1-40e5-9112-88c26b0918ac,https://brenneckes.com/beach-webcam/,"Official Brenneckes camera across from Poipu Beach Park shows swimming basin and surf, matching broad Poipu Beach catalog row.","Chrome Dacast player showed LIVE/Pause. Screenshots showed bathers/swimming basin, breaking surf and changing people/waves. One intermediate frame had gray compression corruption; later screenshot recovered completely."
18,Maui Eldorado (Osterizers/Rainbows),No matching catalog beach,,https://www.mauieldorado.com/webcams,Kaanapali/Eldorado/Osterizers not in catalog; not Lahaina Harbor.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
19,Whaler Condo (Ka'anapali Point),No matching catalog beach,,https://www.youtube.com/@mauilivecam7143/streams,Kaanapali Point/Whaler not in catalog; not Lahaina Harbor.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
20,Maui Seashell – Hale Mahina Resort (S-Turns),No matching catalog beach,,https://halemahinacondo.com/web-cam/,Hale Mahina condo coastline/S-Turns not in catalog; not Honolua Bay.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
21,Napili Sunset Resort (Little Makaha),Location mismatch or unproven coverage,,https://www.napilisunset.com/live-webcam/,Provider is Napili Sunset at Napili Bay; directory Little Makaha association unsupported. Neither exact location exists in catalog.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
22,The Hale Pau Hana Surf Cam,Location mismatch or unproven coverage,,https://www.youtube.com/@HalePauHanaBeachResortKihei/streams,"Hale Pau Hana camera is Kamaole II, not Kihei Cove. Neither in catalog.",Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
23,Grand Wailea Hotel (Kihei Cove),Location mismatch or unproven coverage,,https://www.grandwailea.com/grand-wailea-webcam,"Grand Wailea overlooks Wailea resort coast, not Kihei Cove; no Wailea catalog beach. Provider says live05:00–19:30 HST and evening replay.",Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
24,Rentals Maui (Kihei Cove),Offline,,https://www.rentalsmaui.com/maui-web-cam/,Provider explicitly says webcam currently offline. Kihei Cove absent from catalog as well.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
25,Pacific Terrace Hotel (Crystal Pier and Pacific Beach),Existing camera retained,65809772-20bc-4009-b9b2-89c8ef3c4127,https://www.pacificterrace.com/web-cam,Pacific Beach and Crystal Pier already have cameras; do not overwrite either.,Not playback-tested: excluded by catalog/existing-camera gate.
26,"🔴La Jolla Beach - San Diego, California - Live Cam",Existing camera retained,d291411d-d331-4bf1-ad1a-302da3c69de0,https://www.youtube.com/watch?v=YQovPWtgydY,Exact catalog beach already has HDOnTap camera.,Not playback-tested: excluded by catalog/existing-camera gate.
27,HDONTAP (Del Mar Beach),Existing camera retained,5e72b79d-a12d-4cd3-8da4-b7b92069efbf,https://hdontap.com/stream/399483/del-mar-beach-south-roaming-live-webcam/,Resolved HDOnTap URL already stored for Del Mar; also used by Del Mar Rivermouth and Torrey Pines.,Not playback-tested: excluded by catalog/existing-camera gate.
28,Moonlight Beach Rental (Sandbox),Playback unverified,deea2ae1-849d-47a1-9c27-b7bd505dbc07,https://www.skylinewebcams.com/en/webcam/united-states/california/encinitas/encinitas-california.html,"Plausible Moonlight rental association, but runtime playback failed and exact view remains unverified.",Browser provider page rendered Unable to play media; no playable live image verified.
29,"The Rooftop Bar | Oceanside, CA | San Diego Web Cam",Existing camera retained,cceecad1-7668-4ad8-88ff-ade893c605cd,https://www.youtube.com/watch?v=cvP_F-c2Upw,Exact same YouTube cvP_F-c2Upw already stored.,Not playback-tested: excluded by catalog/existing-camera gate.
30,HDONTAP (Terra Mar),Existing camera retained,1fe4bf73-c425-48a5-899d-a7e8ee2d67e3,https://hdontap.com/stream/177276/terramar-point-surf-live-webcam/,Exact resolved Terramar HDOnTap URL already stored; also stored on Ponto.,Not playback-tested: excluded by catalog/existing-camera gate.
31,"The Rooftop Bar (Fixed Wide West) | Oceanside, CA | San Diego Web Cam",Duplicate or alternate listing,cceecad1-7668-4ad8-88ff-ade893c605cd,https://www.youtube.com/watch?v=OYqo4dqYjh0,Alternate Rooftop Bar fixed view of same pier covered by index29 existing camera; no broad Oceanside Beach catalog row.,Not playback-tested: excluded by catalog/existing-camera gate.
32,Waldorf Astoria Monarch Beach Resort (Dana Point),Existing camera retained,73bb4a48-3d53-42ba-bbd0-d89a7cf95711,https://www.waldorfastoriamonarchbeach.com/experience/private-beach-club,Owner Monarch Bay Beach Club view corresponds to existing Monarch Bay HDOnTap camera on Salt Creek. Do not relabel as Doheny/Strands.,Not playback-tested: excluded by catalog/existing-camera gate.
33,Pacifica View,Duplicate or alternate listing,,https://pacificaview.net/livecam/index.php/,PacificaView aggregate repeats Sharp Park/Pacifica Pier videos indices34-37; no Sharp Park catalog row.,Not playback-tested: excluded by catalog/existing-camera gate.
34,"Pacifica Pier and Beach, Pacifica CA 4k Live",No matching catalog beach,,https://www.youtube.com/watch?v=QYRIc4LcvqQ,Sharp Park/Pacifica Pier absent from catalog. Linda Mar and Rockaway are different beaches and already camera-populated.,Not playback-tested: excluded by catalog/existing-camera gate.
35,"Sharp Park Beach, Pacifica CA 4K Live",No matching catalog beach,,https://www.youtube.com/watch?v=lmec_rcEIL4,Sharp Park absent from catalog; do not substitute Linda Mar/Rockaway.,Not playback-tested: excluded by catalog/existing-camera gate.
36,Chamberlin Nature (Sharp Park),Duplicate or alternate listing,,https://www.youtube.com/@ChamberlinNature/streams,Channel-wide provider link repeats indices34/35; not a unique camera or catalog match.,Not playback-tested: excluded by catalog/existing-camera gate.
37,Pacifica Live Cameras (Sharp Park),Duplicate or alternate listing,,https://www.pacificaview.net/livecam/,Same PacificaView aggregate as33 (www/path variation).,Not playback-tested: excluded by catalog/existing-camera gate.
38,Skyline Webcams (Sharp Park),No matching catalog beach,,https://www.skylinewebcams.com/en/webcam/united-states/california/pacifica/pacifica-sharp-park-beach.html,Explicit Sharp Park provider page; Sharp Park absent from catalog.,Not playback-tested: excluded by catalog/existing-camera gate.
39,Marin-County (Ocean Beach),Playback unverified,eca7e91a-0e5e-40d5-acb4-59c6ff50d861,https://www.surfoutlook.com/surfcam/sanfrancisco/ocean-beach,Generic Ocean Beach SF page does not establish which of North/Middle/Sloat receives view; no verified live playback.,"Browser showed Surf Camera View image and CAM1/CAM2 controls, not verified playing video; no precise segment evidence."
40,Sigward (Stinson Beach),Location mismatch or unproven coverage,5a5dc7b8-4d30-44af-9715-3dbb4dbc9859,https://www.sigward.com/,"Owner page explicitly labels camera MUIR BEACH, not Stinson Beach. No Muir Beach catalog row.",Browser heading MUIR BEACH WEBCAM; iframe ipcamlive alias608dc4709bc06 rendered Unable to play media.
41,Farallon Islands Live Webcam | California Academy of Sciences,Location mismatch or unproven coverage,,https://www.youtube.com/watch?v=fHb0eB9RUgA,"Camera title is Farallon Islands wildlife view, not directory Double Point; neither exact camera location nor Double Point exists in catalog.",Not playback-tested: excluded by catalog/existing-camera gate.
42,The Marine Mammal Center Live Stream Point Reyes National Seashore,No matching catalog beach,,https://www.youtube.com/watch?v=t4IilnlL_9Q,Point Reyes National Seashore wildlife stream; Drakes Estero/Point Reyes absent from catalog. Do not relabel as Bolinas/Stinson.,Not playback-tested: excluded by catalog/existing-camera gate.
43,Lawsons Landing (Shark Pit),Offline,,https://www.lawsonslanding.com/webcam.html,Owner explicitly says camera down for maintenance; Shark Pit/Lawsons Landing absent from catalog.,Owner web page states camera down for maintenance but will be back in a few days.
44,Pacific Coastal and Marine Science Center (Cowells Cove),No matching catalog beach,,https://www.usgs.gov/media/webcams/santa-cruz-main-beach-video-camera-1-snapshot,"USGS source is Santa Cruz Main Beach snapshot, not Cowells Cove; neither Main Beach nor Cowells exists in catalog. Not a verified video stream.",USGS page labels video camera 1 snapshot and serves image.
45,Horseshoe Cove Webcam,Location mismatch or unproven coverage,92e18cf0-97c3-4c68-9cdf-800eb9ac4313,https://www.youtube.com/watch?v=jUjO_Z1EVfA,Horseshoe Cove at UC Davis Bodega Marine Reserve is a different cove from Doran Beach.,Not playback-tested: excluded by catalog/existing-camera gate.
46,Bodega Ocean Observing Node (Salmon Creek),Duplicate or alternate listing,,https://boon.ucdavis.edu/tools/coastal-conditions/,"Official BOON page embeds same Horseshoe Cove webcam as45, not directory Salmon Creek. No Horseshoe Cove/Salmon Creek catalog row.",Not playback-tested: excluded by catalog/existing-camera gate.
47,City of Seaside,Existing camera retained,4055099a-2e07-4a84-b17a-47a401ff749c,https://www.youtube.com/watch?v=Ce_vAKq1kUA,Broad Seaside catalog row already has seasidelanai.com camera; City of Seaside label does not justify assigning to separate precise Seaside Cove (Oregon) row.,Not playback-tested: excluded by catalog/existing-camera gate.
48,"Chinook Winds Casino Resort in Lincoln City, OR",No matching catalog beach,,https://www.youtube.com/watch?v=KFPYXo72qDI,Chinook Winds/Roads End absent from catalog; Nelscott Reef is a distinct reef south of resort and must not inherit camera.,Not playback-tested: excluded by catalog/existing-camera gate.
49,Forks Chamber of Commerce (La Push),Offline,058c415c-39da-41bb-aee9-c4942d79e95d,https://forkswa.com/plan-your-visit/webcams/,Owner explicitly says First Beach and James Island cameras temporarily offline during relocation.,Browser heading La Push Webcams Temporarily Offline; relocation notice visible. Other page cameras Kalaloch/Lake Crescent/River are different locations.
50,ForksWA (The Cape),Location mismatch or unproven coverage,,https://pixelcaster.com/dnc-kalaloch/kalaloch.jpg,Kalaloch Creek JPG is not directory The Cape; Kalaloch has no catalog row. Do not substitute La Push.,Not playback-tested: excluded by catalog/existing-camera gate.
51,Courtyard Virginia Beach Oceanfront,No matching catalog beach,,https://vbbound.com/webcams/courtyard-virginia-beach-boardwalk-webcam/,Provider specifies Courtyard at25th Street; no broad Virginia Beach or25thStreet catalog row. Existing pier/jetty rows are not equivalent.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
52,Watermans Surfside Grill,No matching catalog beach,,https://vbbound.com/webcams/watermans-surfside-grill-boardwalk-webcam/,Provider specifies Watermans at5thStreet; no5thStreet or broad Virginia Beach row. Do not substitute for1stStreet Jetty.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
53,Corolla Light Resort (Corolla Lighthouse),Add verified camera,885440f6-10c2-4c70-aa40-b7b71044cda3,https://www.corollalightresort.com/surf-cam/,Official resort beach page identifies Corolla oceanfront camera.,Browser LIVE/Pause and oceanfront surf scene visually verified earlier this turn.
54,Sea Ranch Resort (Avalon Pier),Offline,fea10ecf-6b55-4cc9-b29b-f215f923759d,https://www.searanchresort.com/webcam/,Broad Kill Devil Hills row could accept resort beach but current player explicitly offline; do not map to Avalon Pier.,"Chrome screenshot: Brownrice player states webcam appears offline, with dark stale scene."
55,Nest (Jenkinsons (Point Pleasant Beach)),No matching catalog beach,,https://video.nest.com/live/JKTTcsayyN,No Jenkinsons/Point Pleasant beach row in467-row snapshot.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
56,The Surfers View (Rockaway),Location mismatch or unproven coverage,,https://thesurfersview.com/live-cams/new-york/rockaway-beach-cam-and-surf-report/,Generic Rockaway listing does not establish90th or98thStreet field of view; no broad Rockaway row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
57,TOBAY Beach Live Stream,No matching catalog beach,,https://www.youtube.com/watch?v=Qzcvhq34p6w,TOBAY has no exact catalog row; do not assign to Montauk Ditch Plains/Turtle Cove or Hampton NH.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
58,Resorts Casino Hotel Beach Camera,No matching catalog beach,,https://www.youtube.com/watch?v=vVyBOU9Huvo,Atlantic City Resorts has no exact catalog row; do not assign to Montauk Ditch Plains/Turtle Cove or Hampton NH.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
59,"EEOR - East Hampton, NY Main Beach Surf and Weather Webcam",No matching catalog beach,,https://www.youtube.com/watch?v=E8fp7TDgQUk,East Hampton Main Beach has no exact catalog row; do not assign to Montauk Ditch Plains/Turtle Cove or Hampton NH.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
60,"Hamptons.com - LIVE! 4K Main Beach, East Hampton Village, New York - Hamptons Surf Report",No matching catalog beach,,https://www.youtube.com/watch?v=xM1-e429Y3A,East Hampton Main Beach has no exact catalog row; do not assign to Montauk Ditch Plains/Turtle Cove or Hampton NH.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
61,"Hamptons.com - LIVE! Windmill Bay & Beach, Sag Harbor, New York | K Pasa Restaurant",No matching catalog beach,,https://www.youtube.com/watch?v=l1A96hXsrCU,Sag Harbor Windmill Bay has no exact catalog row; do not assign to Montauk Ditch Plains/Turtle Cove or Hampton NH.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
62,Two Palms (Lori Wilson Park),Location mismatch or unproven coverage,,https://www.twopalms.com/,"Provider HTML explicitly Cape Canaveral, not directory Lori Wilson Park. No Cape Canaveral row.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
63,New Smyrna Beach Cam 180,Location mismatch or unproven coverage,,https://www.youtube.com/watch?v=550p9smwjPM,New Smyrna Beach/Flagler Avenue listing does not establish inlet coverage; existing inlet row already has another camera.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
64,Volusia Beaches (New Smyrna Inlet),Duplicate or alternate listing,f5eec6e8-844a-41be-b3bf-4c47e0615545,https://www.youtube.com/@VolusiaBeaches/streams,Same Volusia channel as63; channel is not a specific inlet player; existing inlet camera retained.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
65,Volusia County (New Smyrna Inlet),Existing camera retained,f5eec6e8-844a-41be-b3bf-4c47e0615545,https://www.skylinewebcams.com/en/webcam/united-states/florida/new-smyrna/new-smyrna.html,Existing inlet camera retained; no replacement authorized. Skyline broad New Smyrna page also does not prove inlet field of view.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
66,Skyline Webcams (Laguna Beach - South Crescent Bay),Location mismatch or unproven coverage,,https://www.skylinewebcams.com/en/webcam/united-states/california/laguna-beach/laguna-beach.html,"Provider description identifies The Cliff Restaurant, not South Crescent Bay. No matching exact beach established; do not map by directory proximity.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
67,Surf & Sand Resort (Laguna Beach - Rockpile),Location mismatch or unproven coverage,,https://www.surfandsandresort.com/live-webcam,Surf & Sand resort frontage is not Rockpile; exact Rockpile coverage unsupported.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
68,Lifeguard HQ,Existing camera retained,071db1df-b5ee-4af6-a022-ea8a09667cbe,https://www.youtube.com/watch?v=RGYlFjV-dtc,"Huntington pier rows already carry city pier camera; retain those. Lifeguard HQ is another view, not proven Huntington St row.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
69,View from Huntington Beach Pier,Existing camera retained,071db1df-b5ee-4af6-a022-ea8a09667cbe,https://www.youtube.com/watch?v=mhQjsLBfOoY,Exact video mhQjsLBfOoY already assigned to Huntington pier rows.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
70,Huntington Pier Webcam,Duplicate or alternate listing,071db1df-b5ee-4af6-a022-ea8a09667cbe,https://www.youtube.com/watch?v=mhQjsLBfOoY,Same video mhQjsLBfOoY as69.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
71,Lifeguard HQ Huntington Beach (Huntington Pier),Duplicate or alternate listing,071db1df-b5ee-4af6-a022-ea8a09667cbe,https://www.youtube.com/watch?v=RGYlFjV-dtc,Same video RGYlFjV-dtc as68.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
72,North Coast Aviation (Manchester Beach),Location mismatch or unproven coverage,c778cc0a-2094-4649-84cd-4c38ce864f23,https://northcoastaviation.com/pt_arena/point_arena_west.htm,"Provider describes west lighthouse/sky view and Arena Rock offshore, not catalog beach break. No beach field of view established.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
73,7th Street Surf Shop (Ocean City - 7th Street),Duplicate or alternate listing,336e967d-86a6-40db-9404-e398b057fefe,https://7thstreetsurfshop.com/wave-cam,General wave-cam entry duplicates specific7thStreet provider entry74; use74.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
74,7th Street Surf Shop (Ocean City - 7th Street),Add verified camera,336e967d-86a6-40db-9404-e398b057fefe,https://7thstreetsurfshop.com/wave-cam/7th-street,Official7thStreet Surf Shop labels specific7thStreet Wave Cam.,Chrome clicked play; player reported LIVE; screenshot after playback showed changed surf/boardwalk scene.
75,Berger Realty (Ocean City - 7th Street),Location mismatch or unproven coverage,,https://www.bergerrealty.com/ocean-city/live-cams.html,"Provider lists9th,14th and3rdStreet cameras plus Hollywood Arcade, not exact7thStreet camera. Use74 for7thStreet.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
76,Ocean City Webcams (Ocean City - 14th 15th St),Location mismatch or unproven coverage,,https://oceancitylive.com/ocean-city-webcams/ocean-city-beach-cam/,"Provider explicitly Ocean City MARYLAND21stStreet Grand Hotel, not directory14th/15thStreet NJ. No Maryland catalog rows.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
77,Sea Isle City Beach Patrol Webcam,Location mismatch or unproven coverage,,https://www.youtube.com/watch?v=FYOGiFH60uM,Beach Patrol HQ44thStreet view does not prove36th–42nd or12thStreet coverage.,Chrome video showed active beach footage and21watching; no exact catalog field of view established.
78,Rehoboth Boardwalk Plaza Hotel Cam,No matching catalog beach,,https://www.youtube.com/watch?v=lq15dNFXISw,No Rehoboth or Delaware beach in supplied catalog snapshot.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
79,Beach-net.com Boardwalk Plaza Hotel (Rehoboth Main),Duplicate or alternate listing,,https://www.rehobothbeachcam.com/,Same Boardwalk Plaza/Rehoboth provider camera as78; also no Rehoboth catalog row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
80,Flagler Beach Pier Cam (Flagler),Duplicate or alternate listing,9ca1fa2f-2b90-4aa3-8784-48721e5463bb,https://www.youtube.com/@flaglerbeachpiercam3210,"Alternate Flagler pier channel; use already playback-verified direct Flagler Surf provider81, one camera per beach.",Not playback-tested: disposition determined by catalog/geographic/duplicate review.
81,Flagler Surf (Flagler),Add verified camera,9ca1fa2f-2b90-4aa3-8784-48721e5463bb,https://flaglersurf.com/webcam/,Provider explicitly Flagler Beach.,Browser iframe reported LIVE; screenshots showed changed waves beside pier construction earlier this turn.
82,North Vilano - South Ponte Vedra Surf Station Cam,No matching catalog beach,,https://www.youtube.com/watch?v=o4BJ-eDgYrM,No North Vilano/South Ponte Vedra catalog row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
83,Surf Station North Pier Cam,No matching catalog beach,,https://www.youtube.com/watch?v=Q6eZVkUKFxo,No St Augustine Pier catalog row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
84,@SurfStationCam (St Augustine Pier),Duplicate or alternate listing,,https://www.youtube.com/embed/Q6eZVkUKFxo,Same video Q6eZVkUKFxo as83; no St Augustine row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
85,Surf Station (St Augustine Beach Pier),Duplicate or alternate listing,,https://www.surf-station.com/st-augustine-pier-wave-cam/,Provider page same StAugustine Pier camera as83; no catalog row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
86,City of Redondo Beach Pier,Location mismatch or unproven coverage,13a91b0d-3e80-4140-b11e-2c1b12e00687,https://www.youtube.com/watch?v=TuVOKRP7IBA,"Verified live view explicitly looks SOUTH of Redondo Beach Pier; catalog Redondo Breakwall is north at33.8495,-118.4041. No broad Redondo Beach row.",YouTube live controls and visible shoreline frame; on-screen View South of Redondo Beach Pier Thursday Sep3 12:00PM. This is genuine playback but wrong catalog location.
87,LuvinLife (Redondo Beach),Playback unverified,13a91b0d-3e80-4140-b11e-2c1b12e00687,https://www.luvinlife.me/Beach_Cam.html,Private owner page has no clear exact Redondo Breakwall coverage and no playable webcam observed.,"Browser showed Dave & Kathy slice of Heaven, audio-player and empty about:blank iframe; no live beach image."
88,Manhattan Beach Cam and Surf Report,Existing camera retained,7a093b7e-2230-4bf1-abeb-9b31faa794d5,https://www.youtube.com/watch?v=tBEIYdw1HeM,Exact catalog beach already has HDOnTap camera; alternate does not create a new row.,Not playback-tested: excluded by catalog/existing-camera gate.
89,Venice Sidewalk Cafe (Venice Pier),Existing camera retained,11467f21-5a69-430d-9eb9-05a46cd39990,https://www.westland.net/beachcam/,"Boardwalk/Sidewalk Cafe provider location maps broad Venice Beach, already camera-populated. No Venice Pier row; must not pretend precise pier view.",Not playback-tested: excluded by catalog/existing-camera gate.
90,🔴 Los Angeles Live Cam · Venice Beach · Venice V Hotel · Live Camera Stream,Existing camera retained,96fd7011-b894-4776-a68d-ff16fb1985d8,https://www.youtube.com/watch?v=EO_1LWqsCNE,Catalog Venice Breakwater and broad Venice Beach both already have HDOnTap view; do not overwrite.,Not playback-tested: excluded by catalog/existing-camera gate.
91,Gateway Subaru Camera at The Commander Hotel,No matching catalog beach,,https://www.youtube.com/watch?v=zCEiot7sEWY,Commander Hotel Ocean City Maryland; no Maryland beach row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
92,Days Inn Oceanfront (The Inlet and Pier),No matching catalog beach,,https://daysinnboardwalk.com/ocean-city-md-hotel-live-cam/,Days Inn Ocean City Maryland; no Maryland beach row; not New Jersey Ocean City.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
93,Jacksonville Beach Pier Live Cam / South View / By 911surfreport.com,Add verified camera,a4472f56-626e-4905-b909-5f1dc27174a9,https://www.youtube.com/watch?v=c400PBf6adI,"Provider title/description explicitly southside Jacksonville Beach Pier, provided by pier/BeachLife Rentals/911SurfReport.","Chrome Pause/Live; visible09-03-2026 14:58:43 timestamp, surfers and breaking waves;6watching."
94,Surf Station (Ponte Vedra),Duplicate or alternate listing,,https://www.surf-station.com/north-vilano-surf-cam/,Same North Vilano/South Ponte Vedra camera as82; no catalog row.,Not playback-tested: disposition determined by catalog/geographic/duplicate review.
